using NODE-APCbatch size: (1186,)	loss:69.49377
batch size: (1497,)	loss:77.39614
batch size: (315,)	loss:73.867096
batch size: (1600,)	loss:74.68301
batch size: (1495,)	loss:78.12345
batch size: (1544,)	loss:77.433846
batch size: (1527,)	loss:79.82992
batch size: (1548,)	loss:76.83608
batch size: (1600,)	loss:70.86492
batch size: (1591,)	loss:72.94758
batch size: (1208,)	loss:77.66497
batch size: (1373,)	loss:77.32212
batch size: (1478,)	loss:76.008194
batch size: (1478,)	loss:79.75722
batch size: (1515,)	loss:77.05601
batch size: (1499,)	loss:73.05376
batch size: (1195,)	loss:76.4946
batch size: (1528,)	loss:74.63759
batch size: (1532,)	loss:74.39116
batch size: (1522,)	loss:75.10805
batch size: (1510,)	loss:76.61196
batch size: (1144,)	loss:74.744385
batch size: (1561,)	loss:76.98137
batch size: (1511,)	loss:74.82806
batch size: (1421,)	loss:74.82359
batch size: (1548,)	loss:76.32076
batch size: (1440,)	loss:74.36469
batch size: (1600,)	loss:75.60329
batch size: (442,)	loss:73.2715
batch size: (1304,)	loss:74.90174
batch size: (1444,)	loss:78.287834
batch size: (1516,)	loss:73.92191
batch size: (770,)	loss:78.85707
batch size: (1600,)	loss:77.31283
batch size: (1548,)	loss:76.598694
batch size: (1600,)	loss:76.73508
batch size: (1236,)	loss:79.91419
batch size: (1459,)	loss:78.451485
batch size: (1519,)	loss:78.45569
batch size: (870,)	loss:74.41752
batch size: (1510,)	loss:76.52264
batch size: (992,)	loss:74.88371
batch size: (1518,)	loss:73.612885
batch size: (1368,)	loss:76.576065
batch size: (378,)	loss:77.26281
batch size: (462,)	loss:78.33971
batch size: (1093,)	loss:77.93825
batch size: (1246,)	loss:78.3104
batch size: (1417,)	loss:77.89463
batch size: (1417,)	loss:75.870285
batch size: (1508,)	loss:74.5829
batch size: (1492,)	loss:79.713036
batch size: (1589,)	loss:74.56616
batch size: (1244,)	loss:72.60783
batch size: (1577,)	loss:72.729034
batch size: (1491,)	loss:73.16845
batch size: (1508,)	loss:72.83871
batch size: (1363,)	loss:71.41042
batch size: (1476,)	loss:72.68997
batch size: (1523,)	loss:73.56022
batch size: (1414,)	loss:72.69804
batch size: (1561,)	loss:75.12228
batch size: (1562,)	loss:72.830666
batch size: (1479,)	loss:74.17092
batch size: (935,)	loss:76.19009
batch size: (1501,)	loss:75.51906
batch size: (1439,)	loss:78.23312
batch size: (1131,)	loss:76.28345
batch size: (1561,)	loss:76.66063
batch size: (1600,)	loss:75.09301
batch size: (1600,)	loss:75.31577
batch size: (1450,)	loss:75.94139
batch size: (712,)	loss:73.70356
batch size: (1362,)	loss:74.44435
batch size: (1445,)	loss:74.2262
batch size: (1521,)	loss:73.637436
batch size: (1181,)	loss:77.42225
batch size: (1055,)	loss:77.583534
batch size: (1425,)	loss:78.648415
batch size: (1373,)	loss:74.10785
batch size: (1453,)	loss:76.37238
batch size: (1584,)	loss:77.445526
batch size: (1299,)	loss:76.45857
batch size: (1448,)	loss:77.11488
batch size: (1402,)	loss:74.54275
batch size: (1490,)	loss:75.21877
batch size: (1600,)	loss:77.050545
batch size: (1476,)	loss:76.7452
batch size: (1048,)	loss:76.67467
batch size: (1553,)	loss:77.46265
batch size: (425,)	loss:78.46541
batch size: (389,)	loss:80.71696
batch size: (455,)	loss:76.34352
batch size: (1382,)	loss:76.118645
batch size: (1220,)	loss:73.60657
batch size: (1569,)	loss:73.21269
batch size: (804,)	loss:75.17686
batch size: (1419,)	loss:76.86607
batch size: (1325,)	loss:74.15217
batch size: (460,)	loss:79.64358
batch size: (563,)	loss:77.06582
batch size: (470,)	loss:77.70367
batch size: (1027,)	loss:74.74965
batch size: (1417,)	loss:78.41542
batch size: (1600,)	loss:77.555565
batch size: (1493,)	loss:75.516106
batch size: (1506,)	loss:72.9277
batch size: (850,)	loss:78.21861
batch size: (1564,)	loss:78.65544
batch size: (1270,)	loss:79.170555
batch size: (1428,)	loss:78.37419
batch size: (1277,)	loss:79.74587
batch size: (1316,)	loss:76.65178
batch size: (1055,)	loss:77.110146
batch size: (1142,)	loss:78.04846
batch size: (1528,)	loss:76.99136
batch size: (1522,)	loss:78.9266
batch size: (1565,)	loss:75.87207
batch size: (1516,)	loss:80.98114
batch size: (1600,)	loss:75.84496
